image_path,text
dataset/images\camisetas (021).png,Camiseta tipo deportiva delantera y posterior de color blanco con triangiulos sublimados en la parte lateral derecha de color celeste y azul  mangas cortas de color blanco puños de color de blanco cuello redondo de color celete y azul un logo pequeño en el pecho derecho
dataset/images\camisetas (022).png,Camiseta tipo deportiva delantera y posterior de color celeste con degradado en forma de humo sublimado de color azul marino mangas cortas de coor celeste con el degradado puños degrados cuello en redondo color azul marino un logo pequeño en el pecho izquierdo un logo pequeño en el pecho derecho y un logo mediano en el centro del pecho de la parte baja
dataset/images\camisetas (023).png,Camista tipo deportiva delantera y posterior de color negro con degradado en forma de rayas sunblimadas de color gris y amarillo mangas cortas sublimadas puños de color amarillo cuello en forma V de color amarillo un logo pequeño en el centro del pecho
dataset/images\camisetas (024).png,Camiseta tipo deportiva delantera y posterior de color gris con rayas de pintura de color negro sublimadas y raya vertical color gris en la delantera mangas cortas sublimadas y logo pequeño puños de color negro cuello redondo de color negro logo pequeño en el pecho izquierdo logo pequeño en el pecho derecho y logo grande en el centro del pecho parte baja
dataset/images\camisetas (025).png,Camiseta tipo deportiva delantera y posterior de color amarillo con rayas sublimadas de color negro en diagonal mangas cortas una de color negro y la otra de color amarillo  puños de color negro y amarillo cuello redondo de color negro sin ningun logo
dataset/images\camisetas (026).png,Camiseta tipo deportiva delantera y posterior de color morado con deagrado en forma de circulos de color rosado sublimados mangas cortas sublimadas puños de color morado y logo pequeño cuello redondo de color morado logo pequeño en el pecho izquierdo logo pequeño en el pecho derecho logo grande horizontal en el centro del pecho parte baja
dataset/images\camisetas (027).png,Camiseta tipo deportiva delantera y posterior de color rgb(24 24 53) con degradado en forma de hierbas sublimadas de color rgb(81 109 195) mangas cortas de color rgb(81 109 195) puños de color rgb(81 109 195) cuello redondo de color rgb(24 24 53 un logo mediano en el centro del pecho y logo grande en el centro del pecho parte baja
dataset/images\camisetas (028).png,Camiseta tipo deportiva delantera y posterior de color rojo y azul divididas diagonalmente con sublimados de rayas de color azul mangas cortas una de color azul y otra rojo puños de color azul y rojo cuello redondo de color azul logo pequeño en el centro del pecho parte superior logo grande horizonntal en el centro del pecho logo grande en el estomago
dataset/images\camisetas (029).png,Camiseta tipo deportiva delantera y posterior de color morado con degradado hacia debajo de color blanco y rayas sublimadas mangas cortas de color morado puños de color blanco cuello redondo de color blanco logo pequeño en el pecho derecho
dataset/images\camisetas (030).png,Camiseta tipo deportiva delantera y posterio de color blanco con rayas hacia abajo sublimadas de color negro mangas cortas de color blanco puños de color negro cuello redondo de color negro un logo mediano en el centro del pecho
dataset/images\camisetas (031).png,Camiseta tipo deportiva delantera y posterior de color blanco con sublimado en espiral de color celeste y azul marino desde la manga deracha mangas cortas una de color azul marino y la otra de color blanco puños de color celeste cuello redondo de color celeste un logo pequeño en el pecho izquierdo
dataset/images\camisetas (032).png,Camiseta tipo deportiva delantera y posterior de color rgb(13 16 49) sublimado un triangulo de color celeste desde la manga izquierda hasta el pecho mangas cortas una de color celeste sublimada y la otra de color rgb(13 16 49) con sublimado de rayas de color blanco cuello redondo con botones logo pequeño en el pecho izquierdo logo pequeño en el pecho derecho
dataset/images\camisetas (033).png,Camiseta tipo deportiva delantera y posterior de color blanco con degradado en forma de hojas y espirales sublimadas de color rgb(6 59 53) mangas cortas sublimadas de color rgb(6 59 53) puños de color negro cuello redondo de color negro logo pequeño en el pecho izquierdo y logo pequeño en el pecho derecho
dataset/images\camisetas (034).png,Camiseta tipo deportiva delantera y posterior de color negro con sublimado de cuadros diminutos mangas cortas de color negro con una linea celeste puños de color negro cuello redondo de color negro 1 logo grande en el centro del pecho
dataset/images\camisetas (035).png,Camiseta tipo casual delantera y posterior de color blanco mangas largas de color rgb(28 51 83) puños de color rgb(28 51 83) cuello en forma de V de color rgb(28 51 83) sin ningun logo
dataset/images\camisetas (036).png,Camiseta tipo deportiva delantera y posterio de color negro y amarillo sublimados con rayas mangas cortas una de color negro y otra amarilla con rayas puños de color negro y amraillo cuello redondo de color negro y logo pequeño en el pecho izquierdo
dataset/images\camisetas (037).png,Camiseta tipo casual delantera y posterior de color blanco mangas largas de color rgb(36 60 158) puños de color rgb(36 60 158) cuello redondo de color rgb(36 60 158) sin ningun logo
dataset/images\camisetas (038).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(14 141 175) y color rgb(10 15 54) degradados mangas cortas de color rgb(10 15 54) puños de color rgb(10 15 54) cuellos redondo de color rgb(10 15 54) logo pequeño en el pecho derecho y logo mediano en el pecho izquierdo
dataset/images\camisetas (039).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(195 216 121) con forma de manchas degradadas mangas cortas sublimadas puños del color rgb(195 216 121) cuello redondo de color rgb(195 216 121) y logo pequeño en el pecho izquierdo
dataset/images\camisetas (040).png,Camiseta tipo deportiva delantera y posterior sublimadas de color negro con degradado hacia debajo de color gris con rayas horizontales mangas cortas sublimadas con rayas de color blanco puños de color negro cuello de color negro logo pequeño en el pecho derecho
dataset/images\camisetas (041).png,Camiseta tipo deportiva delantera y posterior de color negro raya naranja y parte baja de color gris mangas cortas de color gris puños de color gris cuello redondo de color negro logo pequeño en el pecho izquierdo
dataset/images\camisetas (042).png,Camiseta tipo deportiva delantera y posterior de color negro raya naranja y parte baja de color gris mangas cortas de color gris puños de color gris cuello redondo de color negro logo pequeño en el pecho izquierdo
dataset/images\camisetas (043).png,Camiseta tipo deportiva delantera y posterior de color blanco son sublimado de rayas color morado desde la manga izquierda hacia el pecho mangas cortas una de color blanco y otra de color morado puños de color blanco y morado cuello en forma de V de color morado sin ningun logo
dataset/images\camisetas (044).png,Camiseta tipo deportiva delantera y posterior de color rgb(36 41 70) sublimado con rayas apuntando hacia debajo de color celeste mangas cortas sublimadas puños sublimados cuello redondo de color rgb(36 41 70) un logo pequeño en el pecho izquierdo
dataset/images\camisetas (045).png,Camiseta tipo polo delantera y posterior color blanco sublimado con rayas diagonales desde el hombro hasta la cintura de color gris y negro mangas cortas de color blanco puños de color blanco cuello redondo color blanco con botones sin ningun logo
dataset/images\camisetas (046).png,Camiseta tipo deportiva delantera y posterior de color blanco con degradado en forma de triangulos hacia debajo con colores rgb(148 187 194) y negro mangas cortas de color blanco puños de color blanco cuello en fomra de V de color blanco logo pequeño en el pecho derecho
dataset/images\camisetas (047).png,Camiseta tipo deportiva delantera y posterior de color blanco con sublimado en forma de flama de color rojo y naranja mangas largas de color blanco y rojo puños de color blanco cuello redondo de color rojo logo pequeño en el pecho izquierdo
dataset/images\camisetas (048).png,Camiseta tipo deportiva delantera y posterior color negro son sublimado de rayas de color gris mangas largas de color negro puños de color negro cuello redondo de color negro logo pequeño en el pecho izquierdo logo pequeño en el pecho derecho y logo en el centro del pecho parte baja
dataset/images\camisetas (049).png,Camiseta tipo deportiva delantea y posterior de color rgb(5 111 77)  sublimado degrado de rayas hacia debajo mangas largas sublimadas puños dobles de color rgb(5 111 77) cuello redondo de color rgb(5 111 77) logo pequeño en el pecho izquierdo logo pequeño en el pecho derecho y logo grande horizontal en el centro del pecho parte baja
dataset/images\camisetas (050).png,Camiseta tipo deportiva delantera y posterior de color negro mangas cortas de color negro puños de color negro cuello redondo de color negro logo mediano en el centro del pecho
dataset/images\camisetas (051).png,Camiseta tipo deportiva delantera y posteiror sublimadas de color negro y rojo mitad y mitad con rayas hacia la derecha mangas largas una rojo y otra negra puños de color blanco cuello en forma de V costura en el centro de color blanco logo grande en el centro del pecho
dataset/images\camisetas (052).png,Camiseta tipo deportiva delantera y posterior sublimadas de color negro con rayas en forma de ola de color celeste mangas cortas de color negro puños de color negro cuello redondo de color negro logo pequeño en el centro del pecho
dataset/images\camisetas (053).png,Camiseta tipo deportiva delantera y posterior sublimada de color blanco azul marino y rojo con tiangulos de forma vertical mangas cortas una de color blanco con puño rojo y otra manga con puño de color azul cuello redondo de color azul  logo pequeño en el pecho derecho
dataset/images\camisetas (054).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco azul y naranja mangas cortas de color blanco puños de color azul cuello redondo de color rojo sin ningun logo
dataset/images\camisetas (055).png,Camiseta tipo deportica delantera y posterior sublimados de color celeste blanco y negro mangas cortas una de color negro y otra con color celeste puño de color celeste y negro cuello redondo de color blanco sin ningun logo
dataset/images\camisetas (056).png,Camiseta tipo polo delantera y posterior sublimadas de color blanco celeste y verde con rayas y flechas hacia debajo mangas cortas de color blanco puños de color blanco cuello redondo con botones de color blanco logo pequeño en el pecho derecho
dataset/images\camisetas (057).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco naranja y negro con rayas gruesas diagonales mangas largas de color naranja y negro puños de color negro cuello en forma de V de color negro logo pequeño en el hombro derecho e izquierdo logo pequeño en el pecho derecho e izquierdo
dataset/images\camisetas (058).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(115 47 62) con manchas de selva mangas cortas sublimadas puños sublimados cuello redondo de color rgb(115 47 62) logo pequeño en la manga izquierda logo pequeño en el pecho izquierdo
dataset/images\camisetas (059).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(13 44 75) con gris con rayas intercaldas mangas cortas sublimadas puños sublimados cuello redondo de color gris logo pequeño en vertical en el pecho izquierdo
dataset/images\camisetas (060).png,Camiseta tipo deportiva delantera y posterior sublimadas de color negro y gris degradados con forma de triangulos por todos lados mangas cortas sublimadas puños sublimados cuello redondo de color gris logo pequeño en el pecho izquierdo
dataset/images\camisetas (061).png,Camiseta tipo deportiva delantera y posterior de blanco con una raya de color azul en el lado izquierdo vertical mangas cortas de color blanco un puño de color azul y otro blanco cuello redondo de color blanco logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (062).png,Camiseta tipo deportiva delantera y posterior de color rgb(22 24 45) mangas largas de color rgb(29 60 142) puños dobles de color rgb(29 60 142) cuello redondo de color rgb(29 60 142) sin nungun logo
dataset/images\camisetas (063).png,Camiseta tipo deportiva delantera y posterior de color negro mangas cortas de color gris con rayas negras en vertical puños de color de gris cuello de color negro y gris logo mediano en el centro del pecho
dataset/images\camisetas (064).png,Camiseta tipo deportiva delantera y posterior sublimado de color blanco con rayas cortas del lateral hacia el centro de color rojo mangas cortas sublimadas puños de color rojo cuello en forma de V de color rojo logo grande en el pecho del centro
dataset/images\camisetas (065).png,Camiseta tipo deportiva delantera y posterior de color negro mangas largas de color negro con una raya horizontal de color rosado puños de color negro cuello militar con cierre de color negro logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (066).png,Camiseta tipo deportiva delantera y posteriorsublimadas de color negro y gris con estilo cuadriculado mangas cortas sublimadas puños de color negro cuello redondo con botones de color negro logo pequeño en el pecho izquierdo
dataset/images\camisetas (067).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco y  rgb(40 75 107)  con triangulos degradados mangas cortas una de color blanco y otra de color rgb(40 75 107) puño de color blanco y rgb(40 75 107) cuello redondo de color rgb(40 75 107) logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (068).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco gris y negro con degradado hacia debajo mangas cortas de color gris con una raya negra puños de color gris cuello redondo de color gris logo pequeño en el pecho derecho
dataset/images\camisetas (069).png,Camiseta tipo deportiva delantera y posterior color negro mangas largas de color rojo puños dobles de color rojo cuello redondo de color rojo sin ningun logo
dataset/images\camisetas (070).png,Camiseta tipo polo delantera y posterior sublimadas de color blanco celeste y negro con cuadros desde el hombro derecho hacia el centro del pecho mangas cortas de color blanco puños de color celeste cuello redondo con botones de color blanco logo mediano en el pecho izquierdo
dataset/images\camisetas (071).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(2 131 195) con manchas degradadas en toda la parte del pecho mangas largas de color rgb(2 131 195) ron rayas de color gris puños dobles de color rgb(2 131 195) cuello en forma de V de color rgb(2 131 195) logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (072).png,Camiseta tipo polo delantera y posterior de color negro con la parte lateral de color naranja mangas cortas de color negro puños de color naranja cuello en forma de V sin botones de color naranja un logo grande en el centro del pecho y logo grande en el centro posterior
dataset/images\camisetas (073).png,Camiseta tipo deportiva delantera y posterior de color  rgb(200 126 53) sublimados con rayas de color negro y blanco mangas cortas de color rgb(200 126 53) puños de color negro cuello redondo de color negro logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (074).png,Camiseta tipo deportiva delantera y posterior de color rgb(68 83 116) mangas de color rgb(68 83 116) puños de color rgb(68 83 116) cuello redondo de color rgb(68 83 116) logo pequeño en el pecho izquierdo
dataset/images\camisetas (075).png,Camiseta tipo deportiva delantera y posterior sublimadas de varios colores como morado azul amarillo y verde mangas cortas sublimadas puños sublimados cuello redondo sublimado logo pequeño en el pecho derecho
dataset/images\camisetas (076).png,Camiseta tipo deportiva delantera y posterior de color amarillo mangas cortas de color amarillo puños de color amarillo cuello redondo con pico de color azul logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (077).png,Camiseta tipo deportiva delantera y posterior sublimados de color rgb(19 72 99) con rayas en forma de olas mangas cortas sublimadas puños sublimados cuello redondo con pico de color celeste logo grande en el centro del pecho
dataset/images\camisetas (078).png,Camiseta tipo deportiva delantera y posterior sublimados de color negro con degradado gris hacia debajo mangas cortas de color negro puños de color negro cuello redondo de color negro logo pequeño en el pecho izquierdo
dataset/images\camisetas (079).png,Camiseta tipo deportiva delantera y posterior de color negro sublimado con color verde y rayas en diagonal mangas cortas de color negro puños de color negro cuello en forma de V de color negro logo en el pecho izquierdo y derecho
dataset/images\camisetas (080).png,Camiseta tipo deportiva delantera y posterior sublimadas de color azul marino con linea de color rojo en el hombro mangas cortas de color azul marino puños de color rojo cuello redondo con punta de color azul marino lago mediano en el centro del pecho
dataset/images\camisetas (081).png,Camiseta tipo deportiva delantera y posterior sublimados de color rgb(4 2 42) con rayas de color rosado en forma diagonal mangas cortas de color rgb(4 2 42) puños de color rosado cuello redondo de color rgb(4 2 42) logo pequeño en el pecho izquierdo y derecho logo grande horizontal en el centro del pecho parte baja
dataset/images\camisetas (082).png,Camiseta tipo deportiva delantera y posterior sublimada de color rgb(103 118 139) con forma de manchas en aerosol mangas cortas sublimadas puños sublimadas cuello redondo sublimado sin ningun logo
dataset/images\camisetas (083).png,Camiseta tipo deportiva delantera y posterior sublimados de color morado con rosado con forma de puntos diagonales mangas cortas sublimadas puños sublimados cuello redondo sublimado logo mediano vertical en el pecho derecho
dataset/images\camisetas (084).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco sublimados con azul marino y celeste diagonales mangas cortas sublimadas puños sublimados cuello redondo de color azul sin nungun logo
dataset/images\camisetas (085).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(20 57 96) con degradado celeste hacia debajo mangas cortas de color rgb(20 57 96) puños de color rgb(20 57 96) cuello redondo con punta de color rgb(20 57 96) logo pequeño en el pecho derecho
dataset/images\camisetas (086).png,Camiseta tipo deportiva delantera y posterior sublimados de color negro y gris con forma de manchas de chita linea gruesa vertical gris en la delantera mangas cortas sublimadas  puños de color negro cuello de color negro logo pequeño en el pecho izquierdo y derecho logo grande en el centro del pecho parte baja
dataset/images\camisetas (087).png,Camiseta tipo deportiva delantera y posterior sublimada de color negro con un fenix de color rosa en la parte lateral izquierda baja mangas cortas sublimadas puños de color rosado cuello redondo de color rosado logo pequeño en el pecho izquierdo y derecho logo mediano en el centro del pecho parte baja
dataset/images\camisetas (088).png,Camiseta tipo deportiva delantera y posterior de color amarillo mangas cortas sublimadas de color amarillo y rayas de color naranja puños de color negro cuello redondo de color negro con punta roja loego pequeño en el hombro derecho e izquierdo logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (089).png,Camiseta tipo deportiva delantera y posterior de color negro mangas cortas de color negro puños de color negro cuello redondo de color negro sin ningun logo
dataset/images\camisetas (090).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco con 4 rayas de color azul verticales mangas cortas de color azul puños de color negro cuello redondo con punta de color azul logo pequeño en el pecho izquierdo y derecho logo negro en el centro del pecho parte baja
dataset/images\camisetas (091).png,Camiseta tipo deportiva delantera y posterior de color blanco sublimados con color negro y rayas desde la parte baja hacia arriba diagonal mangas cortas de color blanco puños de color negro cuello redondo de color negro con punta de color blanco logo pequeño en el pecho izquierdo y derecho logo mediano horizontal en el centro del pecho parte baja
dataset/images\camisetas (092).png,Camiseta tipo deportiva delantera y posterior sublimada de color negro con un fenix de color rosa en la parte lateral izquierda baja mangas cortas sublimadas puños de color rosado cuello redondo de color rosado logo pequeño en el pecho izquierdo y derecho logo mediano en el centro del pecho parte baja
dataset/images\camisetas (093).png,Camiseta tipo deportiva delantera y posterior sublimadas de color negro con degradado hacia debajo de color celeste como puntos mangas cortas de color negro puños de color negro cuello en forma de V de color negro logo grande en el centro del pecho
dataset/images\camisetas (094).png,Camiseta tipo deportiva delantera y posterior sublimado de color blanco con rayas laterales de color azul marino y celeste mangas cortas de color azul marino puños de color azul marino cuello redondo de color azul marino logo pequeño en el pecho izquierdo
dataset/images\camisetas (095).png,Camiseta tipo deportiva delantera y posterior sublimado de color blanco con rayas laterales de color azul marino y celeste mangas cortas de color azul marino puños de color azul marino cuello redondo de color azul marino logo pequeño en el pecho izquierdo
dataset/images\camisetas (096).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(133 137 76) con mitad de color negro mangas cortas una de color rgb(133 137 76) y otra manga de color negro puños sublimados cuello redondo de color rgb(133 137 76) logo pequeño en el pecho izquierdo y logo pequeño en el pecho derecho parte baja
dataset/images\camisetas (097).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco con cuadro y hexagonos apuntando hacia debajo con los colores rgb(45 79 99) y rgb(252 162 94) mangas cortas sublimadas puños sublimados cuello redondo con punta de color rgb(45 79 99) logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (098).png,Camiseta tipo deportiva delantera y posterior sublimados de color azul marino con pequeños rayas de color verde desde el hombro derecho mangas cortas una de color azul marino y otra de color verde puños sublimados cuello redondo de color azul marino logo pequeño en el pecho izquierdo
dataset/images\camisetas (099).png,Camiseta tipo deportiva delantera y posterior sublimadas de color blanco con gris y rosado con lineas verticales y horizontales mangas cortas de color rosado puños de color rosado cuello redondo de color rosado logo pequeño en el centro del pecho
dataset/images\camisetas (100).png,Camiseta tipo deportiva delantera y posterior de color negro sublimados con rayas sublimadas de color gris y linea blanca vertical desde el hombro izquierdo hacia debajo mangas cortas de color negro puños de color negro cuello redondo con punto de color rojo logo mediano en el pecho izquierdo
dataset/images\camisetas (101).png,Camiseta tipo deportiva delantera y posterior sublimadas de color azul marino con manchas de chita color celeste mitad y mitad mangas cortas sublimadas puños de color blanco cuello redondo de color blanco logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (102).png,Camiseta tipo deportiva delantera y posterior de color rgb(2 16 48) con degradado rosado hacia debajo mangas cortas de color rosado puños de color rosado cuello redondo con punta de color rosado logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (103).png,Camiseta tipo deportiva delantera y posterior de color rgb(2 16 48) con degradado rosado hacia debajo mangas cortas de color rosado puños de color rosado cuello redondo con punta de color rosado logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (104).png,Camiseta tipo deportiva delantera y posterior de color negro con rayas delgadas en los hombros de color gris mangas cortas de color negro puños de color negro cuello redondo de color negro sin ningun logo
dataset/images\camisetas (105).png,Camiseta tipo deportiva delantera y posterior de color blanco con lineas sublimadas de color negro desde abajo hacia arriba mangas cortas de color blanco puños de color negro cuello redondo con punta de color negro logo pequeño en el pecho izquierdo y derecho.
dataset/images\camisetas (106).png,Camiseta tipo deportiva delantera y posterior de color negro sublimado con color verde y rayas en diagonal mangas cortas de color negro puños de color negro cuello en forma de V de color negro logo en el pecho izquierdo y derecho
dataset/images\camisetas (107).png,Camiseta tipo deportiva delantera y posterior sublimados de color negro con un leon desde la manga derecha hasta el centro del pecho mangas largas sublimadas puño delgado sublimado cuello redondo sublimado sin ningun logo
dataset/images\camisetas (108).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(18 25 44) con  rayas de color celeste mangas cortas de color rgb(18 25 44) puños de color celeste cuello en forma de V de color rgb(18 25 44) logo pequeño en el centro del pecho
dataset/images\camisetas (109).png,Camiseta tipo deportiva delantera y posterior sublimadas de color rgb(18 25 44) con  rayas de color celeste mangas cortas de color rgb(18 25 44) puños de color celeste cuello en forma de V de color rgb(18 25 44) logo pequeño en el centro del pecho
dataset/images\camisetas (110).png,Camiseta tipo polo delantera y posterior sublimada de color negro con degradado hacia debajo de color rojo mangas cortas de color negro puños negros de color rojo cuello redondo con botones de color negro logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (111).png,Camiseta tipo deportiva delantera y posterior de color blanco con laterales de color naranja mangas cortas de color negro puños de color naranja cuello redondo de color naranja logo grande en el centro del pecho parte baja
dataset/images\camisetas (112).png,Camiseta tipo deportiva delantera y posterior sublimada de color blanco azul marino y dorado teniendo rayas horizontales diagonales mangas cortas sublimadas puños sublimados cuello redondo con punta de color dorado logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (113).png,Camiseta tipo deportiva delantera y posterior sublimada de color blanco con rayas de abajo hacia arriba hasta el pecho de color rojo mangas cortas de color blanco puños de color rojo con linea amarilla cuello redondo de color rojo con linea amarilla logo pequeño en el pecho izquierdo y derecho
dataset/images\camisetas (114).png,Camiseta tipo deportiva delantera y posterior de color blanco con lineas sublimadas de color negro desde abajo hacia arriba mangas cortas de color blanco puños de color negro cuello redondo con punta de color negro logo pequeño en el pecho izquierdo y derecho.
dataset/images\camisetas (115).png,Camiseta tipo deportiva delantera y posterior sublimada de color blanco con azul marino y verde en estilo puntos diagonales mangas cortas sublimadas puños sublimados cuello de color azul marino logo pequeño en el pecho izquierdo
dataset/images\camisetas (116).png,Camiseta tipo deportiva delantera y posterior sublimada de color azul marino con rayas blancas en los laterales mangas cortas de color azul marino con logos pequeños puños de color azul marino cuello en forma de V de color azul marino con linea blanca logo mediano en el centro del pecho
dataset/images\camisetas (117).png,Camiseta tipo deportiva delantera y posterior sublimada de color blanco con un leon de color rojo desde la parte derecha mangas cortasd de color blanco puños de color rojo cuello redondo de color blanco logo pequeño en el pecho izquierdo
dataset/images\camisetas (118).png,Camiseta tipo deportiva delantera y posterior de color rgb(16 97 91) con rayas laterales mangas largas de color negro puños de color rgb(16 97 91) cuello militar con cierre de color rgb(16 97 91) sin ningun logo
dataset/images\camisetas (119).png,Camiseta tipo deportiva delantera y posterior de color rgb(125 153 177) mangas largas  de color negro y rgb(125 153 177) puños de ambos colores cuello militar con cierre de color negro sin ningun logo
